SMALLKITCHEN,QUEENS,11101,Sandwiches/Salads/Mixed Buffet,Not Critical,12,A
CARVELICECREAM,BRONX,10462,"Ice Cream, Gelato, Yogurt, Ices",Not Critical,12,A
DUCKWONGRESTAURANT,BROOKLYN,11214,Chinese,Not Critical,9,A
THEWESTSHOREINNRESTAURANT,STATEN ISLAND,10314,American,Critical,31,C
DIGINN,MANHATTAN,10014,American,Critical,5,A
SIRENAS,BRONX,10453,Tex-Mex,Critical,24,B
FALUCKA,MANHATTAN,10012,American,Critical,13,A
GJ'SPIZZERIA,MANHATTAN,10128,Pizza/Italian,Critical,11,A
JAMAOCOFFEESHOPRESTAURANT,QUEENS,11433,Latin,Not Critical,12,A
CAFEBELLAVITA,STATEN ISLAND,10305,Italian,Critical,14,B
GREATWALL,BRONX,10456,Chinese,Not Critical,12,A
POLLOSALABRASAMR.MARIO,QUEENS,11356,Latin,Critical,17,B
CHILI'SGRILLBAR,QUEENS,11385,American,Not Critical,27,B
OPAITHAI,MANHATTAN,10025,Thai,Critical,13,A
TACOBELLPIZZAHUT,QUEENS,11103,American,Critical,11,A
AFTER8,QUEENS,11103,Egyptian,Critical,11,A
O'NEALS,QUEENS,11430,American,Not Critical,21,B
GLCajunGrill,QUEENS,11432,Cajun,Not Critical,9,A
FROSTRESTAURANT,BROOKLYN,11211,Italian,Critical,12,A
LILYRESTAURANT,BROOKLYN,11208,Chinese,Not Critical,11,A
168HITEA,QUEENS,11366,Chinese,Critical,11,A
PRETAMANGER,MANHATTAN,10119,Sandwiches/Salads/Mixed Buffet,Not Critical,2,A
ESTELLE,BROOKLYN,11229,American,Critical,10,A
LEDISTRICT(BARAVIN),MANHATTAN,10281,American,Critical,11,A
ANTIKAPIZZERIA,QUEENS,11103,Pizza/Italian,Not Critical,2,A
FAIRYTALESLOUNGE,MANHATTAN,10036,American,Critical,13,A
AVENUE,MANHATTAN,10011,American,Not Critical,4,A
DONOHUE'SSTEAKHOUSE,MANHATTAN,10065,Steak,Not Critical,10,A
PINKBERRY,BROOKLYN,11215,"Ice Cream, Gelato, Yogurt, Ices",Critical,10,A
ROSCO'SPIZZERIA,BROOKLYN,11238,Italian,Critical,11,A
CIBOEXPRESSGOURMETMARKET(VAGABOND),QUEENS,11369,American,Critical,10,A
NEWTASTEOFCHINA,STATEN ISLAND,10306,Chinese,Not Critical,11,A
PIER79/NYWATERWAYSEATTLECAFE,MANHATTAN,10018,American,Not Critical,25,B
JAMBAJUICE,QUEENS,11430,"Juice, Smoothies, Fruit Salads",Not Critical,5,A
TACOSELREY,BROOKLYN,11235,Mexican,Not Critical,8,A
W'SBARRESTAURANT,STATEN ISLAND,10307,American,Not Critical,4,A
GATSBY'SONTHEBAY,STATEN ISLAND,10304,American,Not Critical,12,A
KOREANNOODLEHOUSE,QUEENS,11361,Korean,Not Critical,11,A
LOTUSBLUEDONGTIANKITCHENBAR,MANHATTAN,10003,Chinese,Not Critical,11,A
BOCCA,MANHATTAN,10020,American,Critical,10,A
PHO32,QUEENS,11361,Vietnamese/Cambodian/Malaysia,Not Critical,13,A
BUDDY'SBURRITOTACOBAR,BROOKLYN,11231,Tex-Mex,Not Critical,16,B
HARLEMKARIBETAKEOUT,MANHATTAN,10027,Caribbean,Not Critical,4,P
HITHAI,MANHATTAN,10002,Thai,Critical,7,A
FAYROOZ,QUEENS,11103,Middle Eastern,Critical,7,A
PARISBAGUETTECAFE,MANHATTAN,10025,Bakery,Not Critical,11,A
MORENARESTAURANT,BRONX,10453,Latin,Critical,5,A
LeBernardin,MANHATTAN,10019,French,Critical,11,A
1OR8,BROOKLYN,11249,Japanese,Critical,27,B
LASAGNARESTAURANT,MANHATTAN,10011,Italian,Critical,23,B
GARI,MANHATTAN,10024,Japanese,Not Critical,12,A
PIZZAHAVEN,MANHATTAN,10034,Pizza,Not Critical,9,A
ROEBLINGINN,BROOKLYN,11201,American,Critical,12,A
LABELLAFERRARA,MANHATTAN,10013,Bakery,Not Critical,13,A
BAGELTREE,MANHATTAN,10035,Bagels/Pretzels,Critical,12,A
VILLARUSTICARISTORANTE,QUEENS,11364,Italian,Not Critical,12,A
YONAHSHIMMELSKNISHES,MANHATTAN,10002,Eastern European,Critical,13,A
CHAOTHAI,QUEENS,11373,Thai,Critical,29,C
MIDTOWNRESTAURANT,MANHATTAN,10022,American,Critical,35,C
SUBWAY,QUEENS,11426,Sandwiches,Critical,12,A
THESOULSPOT,BROOKLYN,11201,Soul Food,Critical,27,B
BISTROCATERERS,MANHATTAN,10019,American,Critical,8,A
DUNKINDONUTS,BRONX,10451,Donuts,Not Critical,7,A
BUDDHABODAIONEVEGETARIANRESTAURANT,MANHATTAN,10013,Vegetarian,Critical,24,B
HAPPYWOK,BRONX,10451,Chinese,Not Critical,4,A
DOMINO'S,BROOKLYN,11226,Pizza,Critical,9,A
THECITYBAKERY,MANHATTAN,10011,American,Not Critical,27,B
NO.1CHINESERESTAURANT,BRONX,10453,Chinese,Critical,9,A
METROPOLITAN,BROOKLYN,11211,American,Not Critical,5,A
SUBWAY,MANHATTAN,10007,Sandwiches,Not Critical,4,A
JARDINDECHINAREST,QUEENS,11368,Chinese,Critical,9,A
BEANOCCHIOSCAFE,MANHATTAN,10021,American,Critical,23,Z
HEWITTDININGHALLBARNARDCOLLEGECAFETERIA,MANHATTAN,10027,American,Not Critical,12,A
HUNANPARK,MANHATTAN,10025,Chinese,Critical,10,A
ELANZUELOFINORESTAURANT,QUEENS,11421,Peruvian,Critical,12,A
SANSIMIANJAMAICANWESTINDIANRESTAURANT,BROOKLYN,11210,Caribbean,Critical,17,B
PARM,MANHATTAN,10012,Italian,Critical,13,A
ESQUIREDINER,QUEENS,11417,American,Not Critical,11,A
MING'SRESTAURANT,MANHATTAN,10001,Chinese,Not Critical,13,A
OCEANCHINESERESTAURANT,QUEENS,11362,Chinese,Not Critical,8,A
RANCHOMOFONGO,QUEENS,11368,Latin,Not Critical,5,A
GUADALAJARADEDIANO.2,QUEENS,11385,Mexican,Not Critical,19,B
EARINN,MANHATTAN,10013,American,Critical,12,A
SUBWAY,BROOKLYN,11207,Sandwiches,Critical,12,A
INSOMNIACOOKIES,MANHATTAN,10002,Bakery,Critical,5,A
TERTULIA,MANHATTAN,10014,Spanish,Critical,24,B
CHIPOTLEMEXICANGRILL,MANHATTAN,10036,Mexican,Critical,9,A
BRASSERIERUHLMANN,MANHATTAN,10111,French,Not Critical,11,A
IMPERIALTHEATRE,MANHATTAN,10036,American,Not Critical,5,A
PAPAJOHN'S,MANHATTAN,10039,Pizza,Critical,10,A
ROSEBASIL,MANHATTAN,10009,Vegetarian,Not Critical,6,A
DELIGHT28RESTAURANT,MANHATTAN,10013,Chinese,Critical,5,A
VIC'S,MANHATTAN,10012,American,Not Critical,11,A
REICHENBACHHALL,MANHATTAN,10018,German,Critical,11,A
AMCTHEATRES,MANHATTAN,10003,American,Not Critical,13,A
WINEBARRISTORANTE,MANHATTAN,10128,Italian,Critical,10,A
CRISPYTASTY,QUEENS,11432,American,Not Critical,10,A
CHARRUA,MANHATTAN,10002,Spanish,Not Critical,4,A
SUBWAY,BROOKLYN,11229,Sandwiches,Not Critical,9,A
CAFEDELECTICA,MANHATTAN,10016,American,Not Critical,12,A
401LUCKYSTARRESTAURANT,BROOKLYN,11212,Chinese,Not Critical,11,A
PARKHYATTNEWYORK,MANHATTAN,10019,American,Critical,18,B
OHBAGELSCAFE,QUEENS,11354,Delicatessen,Critical,9,A
BOCCONCINI,QUEENS,11362,Pizza/Italian,Critical,13,A
TAIPANSNACKS,QUEENS,11354,Bakery,Not Critical,12,A
CREOLEFUSION,QUEENS,11429,Caribbean,Not Critical,9,A
GEORGE'SDINER-CAFE,BRONX,10462,American,Not Critical,11,A
PRIMAPIZZA,QUEENS,11428,Pizza,Critical,20,B
ROSEBANKTAVERN,STATEN ISLAND,10305,American,Critical,13,A
L'ARTEDELGELATO,MANHATTAN,10011,"Ice Cream, Gelato, Yogurt, Ices",Critical,7,A
HENRY'S,MANHATTAN,10025,American,Critical,19,Z
BROOKLYNCUPCAKE,QUEENS,11385,American,Not Critical,4,A
SLICES,BROOKLYN,11211,Jewish/Kosher,Not Critical,12,A
COFFEED,MANHATTAN,10011,Cafe,Critical,25,B
REGOBAGELS,QUEENS,11374,American,Critical,13,A
IceQueen,QUEENS,11373,"Ice Cream, Gelato, Yogurt, Ices",Critical,8,A
LILI'S57,MANHATTAN,10019,Chinese,Critical,13,A
NORTHSTARCAFE,BRONX,10460,American,Critical,11,A
LAESQUINA/JEAN-GEORGESSIMPLYTACOS,MANHATTAN,10121,Tex-Mex,Not Critical,5,A
FAMOUSICESANDICECREAMONTHEBAY,STATEN ISLAND,10304,"Ice Cream, Gelato, Yogurt, Ices",Critical,12,A
AVENUEDINER,MANHATTAN,10022,American,Critical,13,A
ESQUIREDINER,QUEENS,11417,American,Not Critical,7,A
SINGWOKKITCHEN,BRONX,10467,Chinese,Critical,9,A
NATHAN'SFAMOUS,BROOKLYN,11205,Creole,Critical,12,A
HALEHEARTYSOUP,MANHATTAN,10017,Soups  Sandwiches,Critical,7,A
SHRINE/YATENGA,MANHATTAN,10030,African,Not Critical,13,A
NEWJADEFLOWEROPENKITCHEN,BROOKLYN,11214,Chinese,Not Critical,11,A
BOUCHONBAKERYROCKEFELLER,MANHATTAN,10020,American,Critical,12,A
HAVELIFINEINDIANCUISINE,QUEENS,11375,Indian,Critical,13,A
CHEN'SBUFFETT,MANHATTAN,10005,Chinese,Not Critical,10,A
BRIARWOODCAFE,QUEENS,11435,American,Critical,12,A
GOLDENBUNBAKERY,BROOKLYN,11214,Chinese,Critical,17,B
SUNRISECOFFEESHOP,QUEENS,11355,American,Critical,19,B
NEWWAVECAFERESTAURANT,MANHATTAN,10024,Armenian,Critical,10,A
TRINIDELITE,QUEENS,11419,Caribbean,Critical,22,Z
TRIPLECROWNDINER,QUEENS,11426,American,Not Critical,10,A
POLLOSALABRASAMARION,QUEENS,11377,Latin,Critical,25,B
HUMMUSPLACE,MANHATTAN,10014,Middle Eastern,Critical,12,A
SIRICO'SCATERING,BROOKLYN,11228,Italian,Not Critical,10,A
FRESCOSPIZZERIA,MANHATTAN,10033,Pizza,Critical,10,A
JANDLDELI,BROOKLYN,11215,Delicatessen,Not Critical,10,A
BESSEMERTRUSTCO,MANHATTAN,10111,American,Not Critical,2,A
DUNKIN'DONUTS,QUEENS,11357,Donuts,Not Critical,9,A
TOASTIES,MANHATTAN,10019,American,Not Critical,13,A
DARKHORSE,MANHATTAN,10007,American,Critical,13,A
15EASTRESTAURANT,MANHATTAN,10003,Japanese,Critical,10,A
COSI,MANHATTAN,10004,Sandwiches/Salads/Mixed Buffet,Not Critical,4,A
UNCLENICKS,MANHATTAN,10019,Mediterranean,Not Critical,12,A
ELAGUILABAKERY,BROOKLYN,11218,Bakery,Not Critical,10,A
BAGELSWRAPS,BROOKLYN,11215,American,Critical,5,A
AMARONERESTAURANT,MANHATTAN,10036,Italian,Not Critical,7,A
CHIPOTLEMEXICANGRILL,MANHATTAN,10001,Tex-Mex,Not Critical,18,B
GOLDENSTAR,BROOKLYN,11203,Chinese,Critical,7,A
VERYTHAI,MANHATTAN,10009,Thai,Not Critical,12,A
NEWWAHON,BROOKLYN,11208,Chinese,Not Critical,3,A
BAR58,MANHATTAN,10019,American,Not Critical,10,A
COLUMBUSCITIZENSFOUNDATION,MANHATTAN,10021,Italian,Critical,10,A
METROCAFE,BRONX,10461,American,Not Critical,9,A
DELICOFFEECORP.BREAKFASTLUNCH,QUEENS,11432,Delicatessen,Critical,26,B
SPORTSCENTERCAFE,MANHATTAN,10011,Cafe,Not Critical,12,A
DORARESTAURANT,QUEENS,11422,Spanish,Critical,20,B
MR.TANG,BROOKLYN,11209,Chinese,Critical,10,A
HOTBIALYSBAGELS,QUEENS,11375,Bagels/Pretzels,Critical,10,A
STEVENRESTAURANT,BRONX,10467,Latin,Critical,13,A
AROMAESPRESSOBAR,MANHATTAN,10023,Cafe,Not Critical,13,A
JUNIPER,BROOKLYN,11211,American,Critical,26,B
NEWJINBURESTAURANT,BROOKLYN,11233,Chinese,Critical,13,A
ELTUCAN,QUEENS,11373,Spanish,Not Critical,4,A
GOLDENKRUSTCARIBBEANBAKERYGRILL,BROOKLYN,11236,Caribbean,Critical,46,C
WANGCHINACITY,BROOKLYN,11203,Chinese,Not Critical,4,C
WANCHAISEAFOODRESTAURANT,QUEENS,11354,Chinese,Critical,13,A
LUCCARESTAURANT,BRONX,10461,Italian,Not Critical,9,A
FUJIJAPANESERESTAURANT,MANHATTAN,10019,Japanese,Not Critical,12,A
UNCLELOUIEGSITALIANICESICECREAM,BROOKLYN,11214,"Ice Cream, Gelato, Yogurt, Ices",Not Critical,8,A
TAVERNONTHETHIRD,MANHATTAN,10016,American,Not Critical,22,B
MORNINGSTARRESTAURANT,MANHATTAN,10022,American,Critical,9,A
BANHMISAIGONBAKERY,MANHATTAN,10013,Vietnamese/Cambodian/Malaysia,Not Critical,11,A
BOBBYVAN'SSTEAKHOUSEC.P.S,MANHATTAN,10019,Italian,Not Critical,12,A
ACADEMYCAFE,QUEENS,11354,American,Not Critical,13,A
FORTYCARROTS,MANHATTAN,10022,American,Not Critical,11,A
DUNKIN'DONUTS,BROOKLYN,11234,Donuts,Not Applicable,0,P
HAPPYFRESHTORTILLAGRILL,BROOKLYN,11215,Tex-Mex,Critical,12,A
CAFEVIAESPRESSO,QUEENS,11103,Cafe,Not Critical,7,A
CREOLEPLATE,QUEENS,11422,Creole,Critical,9,A
CAFFEBENE,MANHATTAN,10001,Cafe,Critical,14,B
VEYTASBAKERYCAFERESTAURANT,QUEENS,11372,Bakery,Critical,12,A
FRENCHROAST,MANHATTAN,10024,French,Critical,9,A
TATO'SPIZZA,BROOKLYN,11214,Pizza,Critical,11,A
COLONYCLUB,MANHATTAN,10065,American,Not Critical,8,A
Rochelle's/205CLUB,MANHATTAN,10002,American,Critical,11,A
SUNFLOWERDINER,MANHATTAN,10016,American,Not Critical,9,A
BENJERRY'S,MANHATTAN,10036,"Ice Cream, Gelato, Yogurt, Ices",Critical,7,A
MEZCAL'SDOSRESTAURANT,BROOKLYN,11209,Mexican,Critical,13,A
CAFEJAX,MANHATTAN,10028,Cafe,Critical,10,A
RIMINIPASTRYSHOPPE,BROOKLYN,11204,Bakery,Not Critical,11,A
CARACASBEACHCAFE,QUEENS,11693,American,Not Critical,7,A
GILDA'SRESTAURANT,QUEENS,11369,Peruvian,Not Critical,4,A
NEWFONGKWANKITCHEN,QUEENS,11379,Chinese,Not Critical,12,A
ILGUSTO,QUEENS,11385,Pizza,Not Critical,9,A
PALACEOFJAPAN,BRONX,10463,Japanese,Critical,8,A
MOM'SMIDTOWN,MANHATTAN,10019,American,Critical,12,A
ROOSTERSPIRIPIRI,STATEN ISLAND,10302,American,Critical,13,A
CRISPYPIZZA,STATEN ISLAND,10301,Italian,Critical,9,A
AZTECSOUL,BROOKLYN,11208,Mexican,Critical,9,A
SAPPHIRESEAST,MANHATTAN,10022,American,Not Critical,20,B
DUNKIN'DONUTS,BROOKLYN,11220,Donuts,Not Critical,11,A
DELAFIELDPIZZA,STATEN ISLAND,10310,Pizza,Critical,12,A
RAGTOP,BROOKLYN,11203,Caribbean,Not Critical,30,C
GONGCHA,MANHATTAN,10001,Cafe,Critical,9,A
CROWNFRIEDCHICKEN,BROOKLYN,11207,Chicken,Critical,5,A
O'HANLON'SBAR,MANHATTAN,10003,Irish,Not Critical,10,A
NEWCHUANGHING,BROOKLYN,11201,Chinese,Critical,12,A
MMM...THATSAWRAP,QUEENS,11103,American,Not Critical,13,A
ELDIAMANTERESTAURANT,BRONX,10457,Spanish,Critical,22,B
KINGSCHEF,BRONX,10457,Chinese,Not Critical,13,A
NOVITA,MANHATTAN,10010,Italian,Critical,12,A
ELVIEJOYAYORESTAURANTBAR,QUEENS,11416,Spanish,Critical,40,A
NEWTANDOORIHUT,QUEENS,11419,Indian,Critical,19,B
ELTAPATIOMEXICANRESTAURANT,MANHATTAN,10029,Mexican,Critical,21,B
BENJERRY'S,MANHATTAN,10036,"Ice Cream, Gelato, Yogurt, Ices",Not Critical,11,A
BONCHON,QUEENS,11361,Korean,Not Critical,12,A
DOMINO'S,QUEENS,11435,Pizza,Not Critical,3,A
ROSEBENGAL,QUEENS,11416,Bangladeshi,Critical,13,A
PAPAYEDINER,BRONX,10458,African,Critical,13,A
NEWKIMTUONGRESTAURANT,MANHATTAN,10002,Chinese,Not Critical,21,B
HIGHWAYRESTAURANTBAR,BROOKLYN,11203,Caribbean,Not Critical,11,A
FIL'S,BROOKLYN,11235,Seafood,Critical,12,A
COLUMBUSGOURMETFOOD,MANHATTAN,10023,American,Critical,12,A
BAGELSMITH,BROOKLYN,11211,American,Critical,7,A
MOCHABURGER,MANHATTAN,10012,Jewish/Kosher,Critical,15,B
TWINDONUTPLUS,BRONX,10467,Donuts,Not Critical,11,A
AUBONPAIN,QUEENS,11369,Sandwiches/Salads/Mixed Buffet,Critical,9,A
UNDERTHEBRIDGE,MANHATTAN,10022,Greek,Not Critical,13,A
MEE'SNOODLE,MANHATTAN,10022,Chinese,Not Critical,18,B
COTTABENE,BROOKLYN,11215,Italian,Not Critical,13,A
PRIMEMEATS,BROOKLYN,11231,American,Not Critical,13,A
